"key","en","fr","sp","gm","du","ru","th","jp","po","cn","it","in","tk","ko"
"helpMenu_subDescription_5","Paths can't use the spaces diagonal to <#aaf407>Ponds</color><br><br>Paths can be built through <#aaf407>Ponds</color>","Les chemins ne peuvent pas être tracés sur les cases diagonales aux <#aaf407>lagunes</color><br><br>Les chemins peuvent être tracés sur les <#aaf407>lagunes</color>","El camino no puede pasar por las casillas diagonales a las <#aaf407>Lagunas</color><br><br>Se pueden construir puentes sobre las <#aaf407>Lagunas</color>","Pfade können nicht auf Flächen diagonal zu <#aaf407>Teichen</color> angelegt werden<br><br>Pfade können durch <#aaf407>Teichen</color> gebaut werden","Paden kunnen niet door plekken schuin tegenover <#aaf407>Vijvers</color> gaan<br><br>Paden kunnen door <#aaf407>Vijvers</color> gaan","Пути нельзя делать на пространстве по диагонали к <#aaf407>прудам</color><br><br>Пути можно проложить через <#aaf407>прудам</color>","เส้นทางไม่สามารถผ่าน ช่องว่างที่ อยู่ ในแนวแทยงจาก <#aaf407>สระ</color><br><br>เส้นทางสามารถสร้างผ่า <#aaf407>สระ</color> ได้","沼の対角線上に道を作 ることはできません<br><br>沼地を通過できます","O caminho não pode passar pelas casas diagonais às <#aaf407>lagos</color><br><br>E possivel passar através de <#aaf407>lagos</color>","路径不能通过池塘对角线区域<br><br>路径可以越过池塘","II cammino non può passare per le casselle diagonale ai <#aaf407>laghetti</color><br><br>II cammino può passare attraverso dei <#aaf407>laghetti</color>","Jalur tidak dapat dibuat di ruang diagonal menuju <#aaf407>kolam</color><br><br>Jalur tidak dapat dibuat melintasi <#aaf407>kolam</color>","<#aaf407>Göletlerin</color> çaprazindaki bosluklara yol yapilamaz<br><br><#aaf407>Göletlerin</color> üzerinden yol yapilabilir","길은 연못에서 대각선에 있는 공간에는 만들 수 없습니다<br><br>연못을 가로질러 만들 수 없습니다"
"resultMenu_Title_0","EXCELLENT!","EXCELLENT!","EXCELENTE!","AUSGEZEICHNET!","UITSTEKEND!","Превосходно!","เยี่ยม!","すばらしい","EXCELENTE!","太棒了!","ECCELLENTE!","MENGESANKAN!","MUKEMMEL!","훌륭해요!"
"resultMenu_Title_1","NICE WORK!","REMARQUABLE!","GENIAL!","GUTE ARBEIT!","MOOI WERK!","Неплохо!","ทำได้ดีมาก!","上出来","MUITO BEM!","漂亮!","BEN FATTO!","BAGUS!","GUZEL IS!","멋져요!"
"resultMenu_Title_2","GOOD JOB!","TRÈS BIEN!","MUY BIEN!","GUT GEMACHT!","GOED WERK!","Поразительно!","ดีมาก!","グッドジョブ","LEGAL!","不错!","BRAVISSIMO!","UPAYA BAGUS!","IYI IS!","잘했어요!"
"resultMenu_Title_3","AMAZING!","SUPER!","INCREIBLE!","ERSTAUNLICH!","FANTASTISCH!","Поразительно!","สุดยอด!","すごい","INCRIVEL!","很不错!","FANTASTICO!","MENAKJUBKAN!","HARIKA!","놀라워요!"
"resultMenu_Title_4","SPECTACULAR!","SPECTACULAIRE!","ESPECTACULAR!","SPEKTAKULAR!","SPECTACULAIR!","Впечатляюще!","น่าประทับใจ!","驚異的","FORMIDAVEL!","精彩!","SPETTACOLARE!","SPEKTAKULER!","MUHTESEM!","굉장해요!"
"resultMenu_Title_5","GREAT JOB!","FORMIDABLE!","ESPECTACULAR!","SPEKTAKULAR!","SPECTACULAIR!","Неплохо!","ยอดเยี่ยม!","すごい","FANTASTICO!","很棒!","FANTASTICO!","SANGAT BAGUS!","MUTHIS IS!","참 잘했어요!"
"resultMenu_complete","Complete","Terminé","Terminado","Vollstandig","Voltooid","Завершено","เสร็จสิ้น","完成","Completo","完成","Finito","Selesai","Tamamla","완료"
"resultMenu_level","Level","Niveau","Nivel","Level","Level","уровень","ชั้น","レベル","Nivel","水平","Livello","Level","Seviye","수평"
"resultsMenu_spinAgain","watch ad to spin again","Regardez une annonce pour gagner plus d'or","Mira una propaganda y gana más monedas","Schauen Sie sich die Anzeige für mehr Gold an","Bekijk de advertentie voor meer goud","просмотреть объявление, чтобы получить больше золота","ดูโฆษณาเพื่อรับทองคำมากขึ้น","広告を見て、より多くの金を獲得してください","Assista a propaganda e ganhe mais ouro","观看广告并获得更多金币","Guarda l'annuncio e ottieni più monete","Tonton iklan dan dapatkan lebih banyak koin","Reklami izleyin ve daha fazla para kazanin","광고를보고 더 많은 금을 얻으십시오"
"resultsMenu_spinAgainButton","Spin the Wheel!","Tourne la Roue!","¡Gira la ruleta!","Drehe das Rad!","Draai het Wiel!","Крути колесо!","หมุนวงล้อ!","ホイールを回して！","Gire a Roda!","旋转车轮！","Gira la Ruota!","Putar Roda!","Tekerlegi Döndür!","바퀴를 돌리다!"
"resultsMenu_alreadyCompleted","Level Already Completed","Niveau Déjà Terminé","Nivel Ya Completado","Level bereits abgeschlossen","Level al voltooid","Уровень уже завершен","จบเลเวลแล้ว","すでにレベルを達成しています","Nível Concluido","关卡已完成","Livello già completato","Level Sudah Diselesaikan","Seviye Zaten Tamamlanmis","이미 레벨을 완료했습니다"
"secretReveal_tap","Tap to continue","Appuyez sur l'écran pour continuer","Toca la pantalla para continuar","Tippen, um fortzufahren","Tik om door te gaan","Нажмите, чтобы продолжить","แตะเพื่อดำเนินการต่อไป","タップして続ける","Clique para continuar","点击以继续","Tocca per continuare","Ketuk untuk melanjutkan","Devam etmek için dokun","계속하려면 탭하세요"
"secretReveal_title","Mystery Flower","Fleur Mystérieuse","Flor Misteriosa","Mystery-Blume","Mysterieuze Bloem","Загадочный цветок","ดอกไม้ลึกลับ","謎の花","Flor Mistériosa","神秘花朵","Fiore Misterioso","Bunga Misteri","Gizemli Çiçek","신비한 꽃"
"secretReveal_subDescription","+15 Free Gold in Store","+15 Or Gratuit en Magasin","+15 Monedas Gratis en La Tienda","+15 Gold Kostenlos im Shop","+15 Gratis Goud in de Winkel","+15 бесплатных единиц золота в магазине","+15 ทองคำฟรีในร้าน","ストアに無料のゴールドが+20枚","+15 moeidas de brindes na Loja","商店中有20单位免费金子","+15 D’oro Gratis Nel Negozio","+15 Emas Gratis di Toko","+15 Bedava Altin Magazada","상점에서 15 무료 골드"
"profileMenu_myProfile","My Profile","Mon Profil","Mi Perfil","Mein Profil","Mijn Profiel","Мой профиль","ประวัติของฉัน","私のプロフィール","Meu Perfil","我的简历","Il Mio Profilo","Profil Saya","Benim Profilim","내 프로필"
"profileMenu_create","Create","Créer","Crear","Erstellen","Creëer","Создайте","สร้าง","作成する","Crio","创建","Crea","Membuat","Olusturmak","창조하다"
"profileMenu_recover","Recover","Récupérer","Recuperar","Genesen","Herstellen","оправляться","กู้","回復します","Recupera","恢复","Recuperare","Memulihkan","Kurtarmak","다시 덮다"
"profileMenu_username","Username","Nom d'utilisateur","Nombre de usuario","Nutzername","Gebruikersnaam","имя пользователя","ชื่อผู้ใช้","ユーザー名","Nome do usuário","用户名","Nome utente","Nama pengguna","Kullanici adi","사용자 이름"
"profileMenu_email","Email","Email","Email","Email","Email","электронное письмо","อีเมล","Eメール","Email","电子邮件","Email","Surel","E-posta","이메일"
"profileMenu_password","Password","Mot de passe","Contraseña","Passwort","Wachtwoord","пароль","รหัสผ่าน","パスワード","Senha","密码","Parola d'ordine","Kata sandi","Parola","암호"
"profileMenu_recoverProfile","Recover Profile","Récupérer le Profil","Recuperar Perfil","Profil Wiederherstellen","Profiel Herstellen","Восстановить профиль","กู้คืนโปรไฟล์","プロファイルを復元","Recuperar Perfil","恢复个人资料","Recupera Profilo","Pulihkan Profil","Profili Kurtar","프로필 복구"
"themesMenu_title","THEMES","THÈMES","TEMAS","THEMEN","THEMAS","ТЕМЫ","ธีม","テーマ","TEMAS","主题","TEMI","TEMA","TEMALAR","테마"
"themesMenu_equip","Select","Sélectionner","Seleccione","Wählen","Selecteer","Выбрать","เลือก","選択する","Selecione","选择","Selezionare","Pilih","Seçmek","고르다"
"themesMenu_equipped","Selected","Choisi","Elegido","Gewählt","Gekozen","Избранный","ได้รับการแต่งตั้ง","選ばれた","Escolhido","选择","Scelto","Terpilih","Seçilmis","선택된"
"resultsMenu_rateMe","Rate Us!","Évaluez nous!","¡Nos califica!","Bewerten Sie uns!","Beoordeel ons!","Оцените нас!","ให้คะแนนเรา!","評価してください！","Nos avalie!","评价我们！","Valutaci!","Beri nilai kami!","Bizi degerlendirin!","우리를 평가하십시오!"
